Name,Photo_url,Born,Birth_Place,Height,Role,Batting_Style,Bowling_Style
Ayush Badoni,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ayush-badoni.jpg,"December 03, 1999 (25 years)",Delhi,--,Batting Allrounder,Right Handed Bat,Right-arm offbreak
Anshul Kamboj,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/anshul-kamboj.jpg,"December 06, 2000 (24 years)","Karnal, Haryana",--,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
Abhinav Manohar,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abhinav-manohar.jpg,"September 16, 1994 (30 years)","Bangalore, Karnataka",--,Batsman,Right Handed Bat,Right-arm legbreak
Amit Mishra,https://static.cricbuzz.com/a/img/v1/152x152/i1/c153362/amit-mishra.jpg,"November 24, 1982 (42 years)",Delhi,--,Bowler,Right Handed Bat,Right-arm legbreak
Anrich Nortje,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244754/anrich-nortje.jpg,"November 16, 1993 (31 years)",--,--,Bowler,Right Handed Bat,Right-arm fast
Angkrish Raghuvanshi,https://static.cricbuzz.com/a/img/v1/152x152/i1/c626309/angkrish-raghuvanshi.jpg,"June 05, 2004 (20 years)",Delhi,--,Batsman,Right Handed Bat,Right-arm offbreak
Arshin Kulkarni,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/arshin-kulkarni.jpg,"February 15, 2005 (20 years)","Solapur, Maharashtra",--,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
Andre Russell,https://static.cricbuzz.com/a/img/v1/152x152/i1/c170821/andre-russell.jpg,"April 29, 1988 (37 years)",Jamaica,--,Bowling Allrounder,Right Handed Bat,Right-arm fast
Ashton Turner,https://static.cricbuzz.com/a/img/v1/i1/c598550/ashton-turner.jpg?d=low&p=gthumb,"January 25, 1993 (32 years)","Perth, Australia",--,Batting Allrounder,Right Handed Bat,Right-arm offbreak
Aiden Markram,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619858/aiden-markram.jpg,"October 04, 1994 (30 years)",Centurion,--,Batsman,Right Handed Bat,Right-arm offbreak
Ajinkya Rahane,https://static.cricbuzz.com/a/img/v1/152x152/i1/c332892/ajinkya-rahane.jpg,"June 06, 1988 (36 years)","Ashwi-KD, Maharashtra",--,Batsman,Right Handed Bat,Right-arm medium
Axar Patel,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616521/axar-patel.jpg,"January 20, 1994 (31 years)","Anand, Gujarat",--,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
Abdul Samad,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226276/abdul-samad.jpg,"October 28, 2001 (23 years)","Kala Kot, Jammu & Kashmir",--,Batting Allrounder,Right Handed Bat,Right-arm legbreak
Abhishek Sharma,https://static.cricbuzz.com/a/img/v1/152x152/i1/c153963/abhishek-sharma.jpg,"September 04, 2000 (24 years)","Amritsar, Punjab",--,Batting Allrounder,Left Handed Bat,Left-arm orthodox
Abishek Porel,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/abishek-porel.jpg,"October 17, 2002 (22 years)",--,--,WK-Batsman,Left Handed Bat,
Akash Deep,https://static.cricbuzz.com/a/img/v1/152x152/i1/c591951/akash-deep.jpg,"December 15, 1996 (28 years)","Dehri, Rohtas, Bihar",--,Bowler,Right Handed Bat,Right-arm fast-medium
Akash Madhwal,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/akash-madhwal.jpg,"November 25, 1993 (31 years)",Roorkee,--,Bowler,Right Handed Bat,Right-arm fast-medium
Anmolpreet Singh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c179867/anmolpreet-singh.jpg,"March 28, 1998 (27 years)","Patiala, Punjab",--,Batsman,Right Handed Bat,Right-arm offbreak
Anuj Rawat,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226472/anuj-rawat.jpg,"October 17, 1999 (25 years)","Ram Nagar, Uttarakhand",--,WK-Batsman,Left Handed Bat,
Arjun Tendulkar,https://static.cricbuzz.com/a/img/v1/152x152/i1/c154048/arjun-tendulkar.jpg,"September 24, 1999 (25 years)",Mumbai,--,Bowling Allrounder,Left Handed Bat,Left-arm fast-medium
Arshad Khan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/arshad-khan.jpg,"December 20, 1997 (27 years)",Gopalganj (Seoni),--,Bowling Allrounder,Left Handed Bat,Left-arm medium
Arshad Phad,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/arshad-khan.jpg,"December 20, 1997 (27 years)",Gopalganj (Seoni),--,Bowling Allrounder,Left Handed Bat,Left-arm medium
Arshdeep Singh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616527/arshdeep-singh.jpg,"February 05, 1999 (26 years)","Guna, Madhya Pradesh",--,Bowler,Left Handed Bat,Left-arm fast-medium
Ashutosh Sharma,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ashutosh-sharma.jpg,"September 15, 1998 (26 years)","Ratlam, Madhya Pradesh",--,Batting Allrounder,Right Handed Bat,Right-arm medium
Atharva Taide,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/atharva-taide.jpg,"April 26, 2000 (25 years)","Akola, Maharashtra",--,Batsman,Left Handed Bat,Left-arm orthodox
Avesh Khan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c593807/avesh-khan.jpg,"December 13, 1996 (28 years)","Indore, Madhya Pradesh",--,Bowler,Right Handed Bat,Right-arm fast
Azmatullah Omarzai,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616549/azmatullah-omarzai.jpg,"March 24, 2000 (25 years)",--,--,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
Bhuvneshwar Kumar,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244967/bhuvneshwar-kumar.jpg,"February 05, 1990 (35 years)","Meerut, Uttar Pradesh",--,Bowler,Right Handed Bat,Right-arm fast-medium
Sai Sudharsan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c702330/sai-sudharsan.jpg,"October 15, 2001 (23 years)",Chennai,--,Batsman,Left Handed Bat,Right-arm legbreak
Sharath BR,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/sharath-br.jpg,"September 28, 1996 (28 years)",--,--,WK-Batsman,Right Handed Bat,
Cameron Green,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352451/cameron-green.jpg,"June 03, 1999 (25 years)",--,--,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
Varun Chakaravarthy,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616528/varun-chakaravarthy.jpg,"August 29, 1991 (33 years)","Bidar, Karnataka",--,Bowler,Right Handed Bat,Right-arm legbreak
Dewald Brevis,https://static.cricbuzz.com/a/img/v1/152x152/i1/c594284/dewald-brevis.jpg,"April 29, 2003 (22 years)",Johannesburg,--,Batsman,Right Handed Bat,Right-arm legbreak
Donovan Ferreira,https://static.cricbuzz.com/a/img/v1/152x152/i1/c597841/donovan-ferreira.jpg,"July 21, 1998 (26 years)",Pretoria,--,WK-Batsman,Right Handed Bat,Right-arm offbreak
Devdutt Padikkal,https://static.cricbuzz.com/a/img/v1/152x152/i1/c591960/devdutt-padikkal.jpg,"July 07, 2000 (24 years)","Edapal, Kerala",--,Batsman,Left Handed Bat,Right-arm offbreak
David Miller,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619861/david-miller.jpg,"June 10, 1989 (35 years)","Pietermaritzburg, Natal",--,Batsman,Left Handed Bat,
David Warner,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352449/david-warner.jpg,"October 27, 1986 (38 years)","Paddington, New South Wales",1.70 m,Batsman,Left Handed Bat,
Darshan Nalkande,https://static.cricbuzz.com/a/img/v1/i1/c182026/darshan-nalkande.jpg?d=low&p=gthumb,"October 04, 1998 (26 years)","Wardha, Maharashtra",--,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
Deepak Hooda,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244970/deepak-hooda.jpg,"April 19, 1995 (30 years)",Rohtak,--,Batting Allrounder,Right Handed Bat,Right-arm offbreak
Daryl Mitchell,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616424/daryl-mitchell.jpg,"May 20, 1991 (34 years)",Hamilton,--,Batting Allrounder,Right Handed Bat,Right-arm medium
Deepak Chahar,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226392/deepak-chahar.jpg,"August 07, 1992 (32 years)","Agra, Uttar Pradesh",--,Bowler,Right Handed Bat,Right-arm fast-medium
Dhruv Jurel,https://static.cricbuzz.com/a/img/v1/152x152/i1/c591954/dhruv-jurel.jpg,"January 21, 2001 (24 years)","Agra, Uttar Pradesh",--,WK-Batsman,Right Handed Bat,
Faf du Plessis,https://static.cricbuzz.com/a/img/v1/152x152/i1/c593786/faf-du-plessis.jpg,"July 13, 1984 (40 years)",Pretoria,5 feet 11 inches,Batsman,Right Handed Bat,Right-arm legbreak
Gerald Coetzee,https://static.cricbuzz.com/a/img/v1/152x152/i1/c597795/gerald-coetzee.jpg,"October 02, 2000 (24 years)",--,--,Bowler,Right Handed Bat,Right-arm fast
Glenn Maxwell,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619879/glenn-maxwell.jpg,"October 14, 1988 (36 years)","Kew, Melbourne, Victoria",--,Batting Allrounder,Right Handed Bat,Right-arm offbreak
Gulbadin Naib,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616548/gulbadin-naib.jpg,"June 04, 1991 (33 years)","Logar, Afghanistan",--,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
Heinrich Klaasen,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619866/heinrich-klaasen.jpg,"July 30, 1991 (33 years)","Pretoria, Transvaal",--,WK-Batsman,Right Handed Bat,Right-arm offbreak
Himanshu Sharma,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/himanshu-sharma.jpg,"June 06, 1998 (26 years)",--,--,Bowler,Right Handed Bat,Right-arm legbreak
Hardik Pandya,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616519/hardik-pandya.jpg,"October 11, 1993 (31 years)","Choryasi, Gujarat",--,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
Harshal Patel,https://static.cricbuzz.com/a/img/v1/152x152/i1/c594314/harshal-patel.jpg,"November 23, 1990 (34 years)","Sanand, Gujarat",--,Bowler,Right Handed Bat,Right-arm fast-medium
Harpreet Brar,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226471/harpreet-brar.jpg,"September 16, 1995 (29 years)","Moga, Punjab",--,Bowler,Left Handed Bat,Left-arm orthodox
Harpreet Singh Bhatia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c153367/harpreet-singh-bhatia.jpg,"August 11, 1991 (33 years)","Durg, Madhya Pradesh",--,Batsman,Left Handed Bat,Right-arm medium
Harshit Rana,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616529/harshit-rana.jpg,"December 22, 2001 (23 years)",New Delhi,--,Bowler,Right Handed Bat,Right-arm fast-medium
Ishant Sharma,https://static.cricbuzz.com/a/img/v1/152x152/i1/c154520/ishant-sharma.jpg,"September 02, 1988 (36 years)",Delhi,6 ft 5 in (195 cm),Bowler,Right Handed Bat,Right-arm fast-medium
Ishan Kishan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352492/ishan-kishan.jpg,"July 18, 1998 (26 years)","Patna, Bihar",--,WK-Batsman,Left Handed Bat,
Jake Fraser-McGurk,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619874/jake-fraser-mcgurk.jpg,"April 11, 2002 (23 years)",--,--,Batsman,Right Handed Bat,Right-arm legbreak
Joshua Little,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244649/joshua-little.jpg,"November 01, 1999 (25 years)",Ireland,--,Bowler,Right Handed Bat,Left-arm fast-medium
Jhye Richardson,https://static.cricbuzz.com/a/img/v1/152x152/i1/c594939/jhye-richardson.jpg,"September 20, 1996 (28 years)","Murdoch, Western Australia",--,Bowler,Right Handed Bat,Right-arm fast
Jos Buttler,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617407/jos-buttler.jpg,"September 08, 1990 (34 years)","Taunton, Somerset",--,WK-Batsman,Right Handed Bat,
Jaydev Unadkat,https://static.cricbuzz.com/a/img/v1/152x152/i1/c332903/jaydev-unadkat.jpg,"October 18, 1991 (33 years)",Porbandar,--,Bowler,Right Handed Bat,Left-arm fast-medium
Jasprit Bumrah,https://static.cricbuzz.com/a/img/v1/152x152/i1/c591949/jasprit-bumrah.jpg,"December 06, 1993 (31 years)",Ahmedabad,--,Bowler,Right Handed Bat,Right-arm fast
Jonny Bairstow,https://static.cricbuzz.com/a/img/v1/152x152/i1/c351851/jonny-bairstow.jpg,"September 26, 1989 (35 years)","Bradford, Yorkshire",--,WK-Batsman,Right Handed Bat,Right-arm medium
Jitesh Sharma,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226474/jitesh-sharma.jpg,"October 22, 1993 (31 years)","Amrawati, Maharashtra",--,WK-Batsman,Right Handed Bat,
Krishnappa Gowtham,https://static.cricbuzz.com/a/img/v1/152x152/i1/c156045/krishnappa-gowtham.jpg,"October 20, 1988 (36 years)","Bangalore, Karnataka",--,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
Kagiso Rabada,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619869/kagiso-rabada.jpg,"May 25, 1995 (29 years)",Johannesburg,--,Bowler,Left Handed Bat,Right-arm fast
Keshav Maharaj,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619870/keshav-maharaj.jpg,"February 07, 1990 (35 years)","Durban, Natal",--,Bowler,Right Handed Bat,Left-arm orthodox
Dinesh Karthik,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244969/dinesh-karthik.jpg,"June 01, 1985 (39 years)","Madras (now Chennai), Tamil Nadu",--,WK-Batsman,Right Handed Bat,
Krunal Pandya,https://static.cricbuzz.com/a/img/v1/152x152/i1/c171069/krunal-pandya.jpg,"March 24, 1991 (34 years)","Ahmedabad, Gujarat",--,Batting Allrounder,Left Handed Bat,Left-arm orthodox
Khaleel Ahmed,https://static.cricbuzz.com/a/img/v1/152x152/i1/c655386/khaleel-ahmed.jpg,"December 05, 1997 (27 years)","Tonk, Rajasthan",--,Bowler,Right Handed Bat,Left-arm fast-medium
KL Rahul,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616523/kl-rahul.jpg,"April 18, 1992 (33 years)","Mangaluru, Karnataka",--,WK-Batsman,Right Handed Bat,
Kuldeep Sen,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/kuldeep-sen.jpg,"October 22, 1996 (28 years)","Rewa, Madhya Pradesh",--,Bowler,Right Handed Bat,Right-arm fast
Kane Williamson,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616418/kane-williamson.jpg,"August 08, 1990 (34 years)",Tauranga,--,Batsman,Right Handed Bat,Right-arm offbreak
Kwena Maphaka,https://static.cricbuzz.com/a/img/v1/152x152/i1/c597106/kwena-maphaka.jpg,"April 08, 2006 (19 years)",Johannesburg,--,Bowler,Left Handed Bat,Left-arm fast-medium
Karn Sharma,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226391/karn-sharma.jpg,"October 23, 1987 (37 years)","Meerut, Uttar Pradesh",--,Bowler,Left Handed Bat,Right-arm legbreak
Kartik Tyagi,https://static.cricbuzz.com/a/img/v1/152x152/i1/c593781/kartik-tyagi.jpg,"November 08, 2000 (24 years)","Hapur, Uttar Pradesh",--,Bowler,Right Handed Bat,Right-arm fast
Kuldeep Yadav,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616525/kuldeep-yadav.jpg,"December 14, 1994 (30 years)","Kanpur, Uttar Pradesh",--,Bowler,Left Handed Bat,Left-arm wrist-spin
Kumar Kushagra,https://static.cricbuzz.com/a/img/v1/152x152/i1/c594227/kumar-kushagra.jpg,"October 23, 2004 (20 years)","Bokaro, Jharkhand",--,WK-Batsman,Right Handed Bat,
Luke Wood,https://static.cricbuzz.com/a/img/v1/152x152/i1/c158044/luke-wood.jpg,"August 02, 1995 (29 years)","Sheffield, Yorkshire",--,Bowler,Left Handed Bat,Left-arm fast-medium
Will Williams,https://static.cricbuzz.com/a/img/v1/152x152/i1/c151518/will-williams.jpg,"October 06, 1992 (32 years)",--,--,Bowler,Right Handed Bat,Right-arm medium
Lockie Ferguson,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616422/lockie-ferguson.jpg,"June 13, 1991 (33 years)",Auckland,--,Bowler,Right Handed Bat,Right-arm fast
Liam Livingstone,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617405/liam-livingstone.jpg,"August 04, 1993 (31 years)","Barrow-in-Furness, Cumberland",--,Batting Allrounder,Right Handed Bat,Right-arm legbreak
Lalit Yadav,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226516/lalit-yadav.jpg,"January 03, 1997 (28 years)",Delhi,--,Batting Allrounder,Right Handed Bat,Right-arm offbreak
Marco Jansen,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619862/marco-jansen.jpg,"May 01, 2000 (25 years)",--,--,Bowling Allrounder,Right Handed Bat,Left-arm fast
Mayank Markande,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226510/mayank-markande.jpg,"November 11, 1997 (27 years)","Bathinda, Punjab",--,Bowler,Right Handed Bat,Right-arm legbreak
Matheesha Pathirana,https://static.cricbuzz.com/a/img/v1/152x152/i1/c351888/matheesha-pathirana.jpg,"December 18, 2002 (22 years)",Kandy,--,Bowler,Right Handed Bat,Right-arm fast
Shahrukh Khan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226465/shahrukh-khan.jpg,"May 27, 1995 (29 years)","Chennai, Tamil Nadu",--,Batting Allrounder,Right Handed Bat,Right-arm offbreak
Manimaran Siddharth,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/manimaran-siddharth.jpg,"July 03, 1998 (26 years)",--,--,Bowler,Right Handed Bat,Left-arm orthodox
Maheesh Theekshana,https://static.cricbuzz.com/a/img/v1/152x152/i1/c594214/maheesh-theekshana.jpg,"August 01, 2000 (24 years)",Colombo,--,Bowler,Right Handed Bat,Right-arm offbreak
Mayank Agarawal,https://static.cricbuzz.com/a/img/v1/152x152/i1/c591981/mayank-agarawal.jpg,"February 16, 1991 (34 years)","Bangalore, Karnataka",--,Batsman,Right Handed Bat,Right-arm offbreak
Mitchell Starc,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352462/mitchell-starc.jpg,"January 30, 1990 (35 years)","Baulkham Hills, Sydney, New South Wales",1.96 m,Bowler,Left Handed Bat,Left-arm fast
Matt Henry,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616431/matt-henry.jpg,"December 14, 1991 (33 years)","Christchurch, Canterbury",--,Bowler,Right Handed Bat,Right-arm fast-medium
Mitchell Santner,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616427/mitchell-santner.jpg,"February 05, 1992 (33 years)",Hamilton,--,Bowling Allrounder,Left Handed Bat,Left-arm orthodox
Manav Suthar,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/manav-suthar.jpg,"August 03, 2002 (22 years)","Sri Ganganagar, Rajasthan",--,Bowler,Left Handed Bat,Left-arm orthodox
Mahipal Lomror,https://static.cricbuzz.com/a/img/v1/152x152/i1/c226541/mahipal-lomror.jpg,"November 16, 1999 (25 years)","Nagaur, Rajasthan",--,Batting Allrounder,Left Handed Bat,Left-arm orthodox
Manish Pandey,https://static.cricbuzz.com/a/img/v1/152x152/i1/c171022/manish-pandey.jpg,"September 10, 1989 (35 years)","Nainital, Uttaranchal",--,Batsman,Right Handed Bat,Right-arm medium
Moeen Ali,https://static.cricbuzz.com/a/img/v1/152x152/i1/c597794/moeen-ali.jpg,"June 18, 1987 (37 years)",Birmingham,6ft,Batting Allrounder,Left Handed Bat,Right-arm offbreak
Mohit Sharma,https://static.cricbuzz.com/a/img/v1/152x152/i1/c594343/mohit-sharma.jpg,"September 18, 1988 (36 years)","Ballabhgarh, Haryana",--,Bowler,Right Handed Bat,Right-arm fast-medium
Marcus Stoinis,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352453/marcus-stoinis.jpg,"August 16, 1989 (35 years)",Perth,--,Batting Allrounder,Right Handed Bat,Right-arm medium
Mayank Yadav,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/mayank-yadav.jpg,"June 17, 2002 (22 years)",New Delhi,--,Bowler,Right Handed Bat,Right-arm fast
Mitchell Marsh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c352452/mitchell-marsh.jpg,"October 20, 1991 (33 years)","Attadale, Perth",--,Batting Allrounder,Right Handed Bat,Right-arm fast-medium
MS Dhoni,https://static.cricbuzz.com/a/img/v1/152x152/i1/c170677/ms-dhoni.jpg,"July 07, 1981 (43 years)","Ranchi, Bihar (now Jharkhand)",5 ft 11 in (180 cm),WK-Batsman,Right Handed Bat,Right-arm medium
Matthew Wade,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244799/matthew-wade.jpg,"December 26, 1987 (37 years)","Hobart, Tasmania",1.70 m,WK-Batsman,Left Handed Bat,
Mayank Dagar,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/mayank-dagar.jpg,"November 11, 1996 (28 years)",Delhi,--,Bowling Allrounder,Right Handed Bat,Left-arm orthodox
Mohammad Nabi,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616550/mohammad-nabi.jpg,"January 01, 1985 (40 years)","Loger, Afghanistan",--,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
