Innings,Not outs,Runs,Average,Strike Rate,100s,50s,4s,6s,Player
15,3,741,61.75,154.697286,1,5,62,38,Virat Kohli
15,0,438,29.2,161.6236162,0,4,47,21,Faf du Plessis
13,0,395,30.38461538,177.1300448,0,5,21,33,Rajat Patidar
9,0,52,5.777777778,120.9302326,0,0,6,2,Glenn Maxwell
12,4,255,31.875,143.258427,0,0,22,10,Cameron Green
5,1,98,24.5,127.2727273,0,0,10,3,Anuj Rawat
13,4,326,36.22222222,187.3563218,0,2,27,22,Dinesh Karthik
14,3,583,53,141.1622276,1,4,58,18,Ruturaj Gaikwad
10,0,222,22.2,160.8695652,0,1,22,12,Rachin Ravindra
12,0,242,20.16666667,123.4693878,0,0,24,7,Ajinkya Rahane
13,2,318,28.90909091,142.6008969,0,2,27,10,Daryl Mitchell
14,3,396,36,162.295082,0,3,28,28,Shivam Dube
11,5,267,44.5,142.7807487,0,1,22,8,Ravindra Jadeja
8,0,168,21,134.4,0,1,17,10,David Warner
4,0,61,15.25,160.5263158,0,0,9,3,Mitchell Marsh
9,1,183,22.875,150,0,0,12,12,Shai Hope
13,2,446,40.54545455,155.4006969,0,3,36,25,Rishabh Pant
2,0,3,1.5,33.33333333,0,0,0,0,Ricky Bhui
13,6,378,54,190.9090909,0,3,24,26,Tristan Stubbs
12,4,235,29.375,131.2849162,0,2,19,10,Harshal Patel
3,1,18,9,75,0,0,2,1,Sumit Kumar
12,2,327,32.7,159.5121951,0,2,36,13,Abishek Porel
5,2,47,15.66666667,114.6341463,0,0,6,1,Kuldeep Yadav
5,0,152,30.4,125.6198347,0,1,18,4,Shikhar Dhawan
11,1,298,29.8,152.8205128,1,0,33,14,Jonny Bairstow
14,0,334,23.85714286,156.8075117,0,2,34,20,Prabhsimran Singh
12,2,270,27,123.2876712,0,2,24,6,Sam Curran
12,1,187,17,131.6901408,0,0,9,12,Jitesh Sharma
7,2,111,22.2,142.3076923,0,0,8,7,Liam Livingstone
14,6,354,44.25,164.6511628,0,2,28,21,Shashank Singh
7,5,75,37.5,138.8888889,0,0,8,2,Harpreet Brar
12,1,435,39.54545455,182.0083682,0,4,50,24,Philip Salt
14,0,488,34.85714286,180.7407407,1,3,50,33,Sunil Narine
13,5,370,46.25,158.7982833,0,4,35,19,Venkatesh Iyer
14,5,351,39,146.8619247,0,2,34,14,Shreyas Iyer
2,0,42,21,123.5294118,0,0,5,1,Nitish Rana
9,5,125,31.25,201.6129032,0,0,5,12,Ramandeep Singh
11,2,168,18.66666667,148.6725664,0,0,13,8,R K Singh 
9,2,222,31.71428571,185,0,1,20,16,Andre Russell
5,3,9,4.5,81.81818182,0,0,1,0,Mitchell Starc
4,0,64,16,112.2807018,0,0,8,1,MA Agarwal
16,1,484,32.26666667,204.2194093,0,3,36,42,Abhishek Sharma
6,0,165,27.5,143.4782609,0,1,18,6,Rahul Tripathi
11,2,220,24.44444444,124.2937853,0,1,18,4,Aiden Markram
15,3,479,39.91666667,171.0714286,0,4,19,38,Heinrich Klaasen
12,2,182,18.2,168.5185185,0,0,15,11,Abdul Samad
12,3,215,23.88888889,129.5180723,0,1,7,13,Shahbaz Ahmed
2,1,18,18,138.4615385,0,0,1,1,Marco Jansen
10,4,136,22.66666667,143.1578947,0,0,9,8,Pat Cummins
15,1,435,31.07142857,155.9139785,1,1,54,16,Yashasvi Jaiswal
11,2,359,39.88888889,140.7843137,2,0,36,12,Jos Buttler
15,4,531,48.27272727,153.4682081,0,5,48,24,Sanju Samson
14,3,573,52.09090909,149.21875,0,4,40,33,Riyan Parag
9,4,113,22.6,163.7681159,0,0,9,7,Shimron Hetmyer
11,3,195,24.375,138.2978723,0,2,18,7,Dhruv Jurel
11,0,250,22.72727273,134.4086022,0,3,29,9,Quinton de Kock
7,0,38,5.428571429,71.69811321,0,0,3,0,Devdutt Padikkal
14,0,520,37.14285714,136.1256545,0,4,45,19,KL Rahul
12,4,235,29.375,137.4269006,0,2,22,5,Ayush Badoni
9,1,145,18.125,138.0952381,0,1,16,3,Deepak Hooda
14,6,499,62.375,178.2142857,0,3,35,36,Nicholas Pooran
14,2,388,32.33333333,147.5285171,1,2,39,16,Marcus Stoinis
11,7,133,33.25,126.6666667,0,0,8,5,Krunal Pandya
9,0,136,15.11111111,118.2608696,0,0,18,3,Wriddhiman Saha
12,1,426,38.72727273,147.4048443,1,2,37,15,Shubman Gill
12,1,527,47.90909091,141.2868633,1,2,48,17,Sai Sudharsan
4,0,42,10.5,127.2727273,0,0,2,2,Azmatullah Omarzai
9,3,210,35,151.0791367,0,1,20,8,David Miller
7,2,83,16.6,115.2777778,0,0,7,2,Vijay Shankar
9,2,188,26.85714286,145.7364341,0,0,24,5,Rahul Tewatia
8,3,102,20.4,143.6619718,0,0,11,3,Rashid Khan
14,0,320,22.85714286,148.8372093,0,1,35,16,Ishan Kishan
7,1,140,23.33333333,177.2151899,0,1,12,10,Naman Dhir
14,1,417,32.07692308,150,1,1,45,23,Rohit Sharma
3,0,69,23,116.9491525,0,0,3,5,Dewald Brevis
13,3,416,41.6,149.6402878,0,3,35,19,Tilak Varma
11,3,241,30.125,158.5526316,0,0,14,15,Tim David
5,1,14,3.5,63.63636364,0,0,0,1,Gerald Coetzee
13,1,216,18,143.0463576,0,0,17,11,Hardik Pandya
6,2,15,3.75,100,0,0,1,1,Piyush Chawla
4,,12,,100,0,0,1,0,Jasprit Bumrah
1,,1,,100,0,0,0,0,Shams Mulani
10,2,125,15.625,183.8235294,0,0,9,9,Mahipal Lomror
5,1,51,12.75,118.6046512,0,0,4,2,Sameer Rizvi
2,1,12,12,80,0,0,0,1,Umesh Yadav
3,,6,,85.71428571,0,0,1,0,Spencer Johnson
15,1,567,40.5,191.5540541,1,4,64,32,Travis Head
5,3,57,28.5,271.4285714,0,0,5,5,Romario Shepherd
8,2,86,14.33333333,116.2162162,0,0,5,4,Ravichandran Ashwin
3,0,4,1.333333333,66.66666667,0,0,0,0,Ravi Bishnoi
1,0,2,2,200,0,0,0,0,Mohsin Khan
1,0,0,0,0,0,0,0,0,Washington Sundar
8,0,198,24.75,163.6363636,0,1,30,5,Prithvi Shaw
11,8,161,53.66666667,220.5479452,0,0,14,13,MS Dhoni
1,,4,,80,0,0,0,0,Akash Madhwal
3,1,33,16.5,173.6842105,0,0,3,2,Shubham Dubey
1,0,0,0,0,0,0,0,0,Mayank Dagar
1,,3,,50,0,0,0,0,Reece Topley
1,-1,12,6,150,0,0,0,2,Mohammed Siraj
7,0,163,23.28571429,155.2380952,0,1,16,8,Angkrish Raghuvanshi
4,0,28,7,93.33333333,0,0,4,0,Rasikh Dar Salam
2,0,4,2,50,0,0,0,0,Anrich Nortje
2,,1,,14.28571429,0,0,0,0,Ishant Sharma
2,0,27,13.5,100,0,0,4,0,Kane Williamson
2,0,43,21.5,113.1578947,0,0,2,2,Sikandar Raza
9,2,189,27,167.2566372,0,1,10,15,Ashutosh Sharma
11,2,303,33.66666667,142.9245283,0,2,15,21,Nitish Kumar Reddy
3,0,18,6,120,0,0,1,1,Saurav Chauhan
11,1,345,34.5,167.4757282,1,3,36,18,Suryakumar Yadav
2,0,10,5,83.33333333,0,0,1,0,Lalit Yadav
3,0,3,1,42.85714286,0,0,0,0,Kumar Kushagra
1,0,2,2,100,0,0,0,0,Jhye Richardson
1,0,2,2,40,0,0,0,0,BR Sharath
1,0,12,12,109.0909091,0,0,0,1,Darshan Nalkande
2,0,5,2.5,55.55555556,0,0,1,0,Noor Ahmad
1,,3,,100,0,0,0,0,Anukul Roy
1,,1,,100,0,0,0,0,Vaibhav Arora
5,2,23,7.666666667,79.31034483,0,0,3,0,Bhuvneshwar Kumar
5,2,24,8,92.30769231,0,0,2,1,Jaydev Unadkat
1,0,4,4,66.66666667,0,0,0,0,Matthew Wade
2,0,9,4.5,56.25,0,0,1,0,Abhinav Manohar
7,0,127,18.14285714,169.3333333,0,1,9,9,Sharukh Khan
8,1,230,32.85714286,175.5725191,1,1,16,18,Will Jacks
2,1,1,1,33.33333333,0,0,0,0,Vijaykumar Vyshak
1,,2,,100,0,0,0,0,Akash Deep
3,2,78,78,156,0,1,5,5,Arshad Khan
9,0,330,36.66666667,234.0425532,0,4,32,28,Jake Fraser-McGurk
2,0,61,30.5,156.4102564,0,0,7,2,Atharva Taide
1,0,24,24,77.41935484,0,0,3,0,Tanush Kotian
7,1,103,17.16666667,151.4705882,0,0,10,6,Rovman Powell
1,0,1,1,50,0,0,0,0,Keshav Maharaj
1,0,5,5,125,0,0,1,0,Arshad Khan (2)
5,1,35,8.75,112.9032258,0,0,2,2,Mohammad Nabi
4,2,14,7,87.5,0,0,2,0,Trent Boult
2,0,2,1,13.33333333,0,0,0,0,Mohit Sharma
8,0,211,26.375,181.8965517,0,1,25,11,Rilee Rossouw
2,0,27,13.5,79.41176471,0,0,2,0,Harpreet Singh
4,1,13,4.333333333,68.42105263,0,0,1,1,Harshal Patel
3,2,20,20,142.8571429,0,0,0,2,Kagiso Rabada
5,0,128,25.6,130.6122449,0,1,7,8,Moeen Ali
2,1,3,3,33.33333333,0,0,0,0,Mukesh Kumar
1,0,24,24,133.3333333,0,0,3,0,Suyash Prabhudessai
3,0,31,10.33333333,206.6666667,0,0,2,3,Karn Sharma
1,0,1,1,100,0,0,0,0,Lockie Ferguson
6,0,109,18.16666667,129.7619048,0,0,9,6,Nehal Wadhera
1,0,13,13,216.6666667,0,0,0,2,Ravisrinivasan Sai Kishore
5,3,37,18.5,176.1904762,0,0,3,3,Swapnil Singh
1,,9,,300,0,0,0,1,Luke Wood
2,0,5,2.5,83.33333333,0,0,1,0,Anmolpreet Singh
1,,1,,50,0,0,0,0,Will Williams
2,0,9,4.5,112.5,0,0,2,0,Arshin Kulkarni
2,0,21,10.5,116.6666667,0,0,0,2,Ashton Turner
1,0,42,42,135.483871,0,0,2,2,Manish Pandey
1,0,1,1,50,0,0,0,0,Manav Suthar
3,0,14,4.666666667,82.35294118,0,0,1,0,Mitchell Santner
3,2,21,21,123.5294118,0,0,2,1,Shardul Thakur
1,,0,,0,0,0,0,0,Tushar Deshpande
1,,2,,100,0,0,0,0,Richard Gleeson
2,1,21,21,140,0,0,3,1,Rahul Chahar
2,0,21,10.5,150,0,0,1,2,Yudhvir Singh
3,2,14,14,116.6666667,0,0,1,0,Sanvir Singh
1,0,19,19,126.6666667,0,0,1,1,Gulbadin Naib
2,0,8,4,72.72727273,0,0,0,0,Donovan Ferreira
2,,10,,200,0,0,1,0,Avesh Khan
1,0,4,4,133.3333333,0,0,1,0,Arshdeep Singh
1,,2,,100,0,0,0,0,Anshul Kamboj
1,,2,,50,0,0,0,0,Naveen-ul-Haq
3,0,48,16,88.88888889,0,0,7,1,Tom Kohler-Cadmore
1,,2,,66.66666667,0,0,0,0,Shivam Singh
1,,7,,140,0,0,0,0,Vijayakanth Viyaskanth
2,0,62,31,134.7826087,0,0,7,4,Rahmanullah Gurbaz
